Symbol,Whether ETF,Company Name,Exchange Market Place
KR,False,Kroger Company (The) Common Stock,nyse
L,False,Loews Corporation Common Stock,nyse
LABU,True,Direxion Daily S&P Biotech Bull 3X Shares,nysearca
LBRDK,False,Liberty Broadband Corporation - Class C Common Stock,nasdaq
LCID,False,"Lucid Group, Inc. - Common Stock",nasdaq
LDOS,False,"Leidos Holdings, Inc. Common Stock",nyse
LEN,False,Lennar Corporation Class A Common Stock,nyse
LH,False,Laboratory Corporation of America Holdings Common Stock,nyse
LHX,False,"L3Harris Technologies, Inc. Common Stock",nyse
LI,False,Li Auto Inc. - American Depositary Shares,nasdaq
LIN,False,Linde plc Ordinary Share,nyse
LKQ,False,LKQ Corporation - Common Stock,nasdaq
LLY,False,Eli Lilly and Company Common Stock,nyse
LMT,False,Lockheed Martin Corporation Common Stock,nyse
LNC,False,Lincoln National Corporation Common Stock,nyse
LNG,False,"Cheniere Energy, Inc. Common Stock",amex
LNT,False,Alliant Energy Corporation - Common Stock,nasdaq
LOW,False,"Lowe's Companies, Inc. Common Stock",nyse
LPLA,False,LPL Financial Holdings Inc. - Common Stock,nasdaq
LRCX,False,Lam Research Corporation - Common Stock,nasdaq
LULU,False,lululemon athletica inc. - Common Stock,nasdaq
LUMN,False,"Lumen Technologies, Inc. Common Stock",nyse
LUV,False,Southwest Airlines Company Common Stock,nyse
LVS,False,Las Vegas Sands Corp. Common Stock,nyse
LW,False,"Lamb Weston Holdings, Inc. Common Stock ",nyse
LYB,False,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),nyse
LYFT,False,"Lyft, Inc. - Class A Common Stock",nasdaq
LYV,False,"Live Nation Entertainment, Inc. Common Stock",nyse
MA,False,Mastercard Incorporated Common Stock,nyse
MAA,False,"Mid-America Apartment Communities, Inc. Common Stock",nyse
MAR,False,Marriott International - Class A Common Stock,nasdaq
MAS,False,Masco Corporation Common Stock,nyse
MCD,False,McDonald's Corporation Common Stock,nyse
MCHP,False,Microchip Technology Incorporated - Common Stock,nasdaq
MCK,False,McKesson Corporation Common Stock,nyse
MCO,False,Moody's Corporation Common Stock,nyse
MDB,False,"MongoDB, Inc. - Class A Common Stock",nasdaq
MDLZ,False,"Mondelez International, Inc. - Class A Common Stock",nasdaq
MDT,False,Medtronic plc. Ordinary Shares,nyse
MELI,False,"MercadoLibre, Inc. - Common Stock",nasdaq
MET,False,"MetLife, Inc. Common Stock",nyse
META,False,"Meta Platforms, Inc. - Class A Common Stock",nasdaq
MGM,False,MGM Resorts International Common Stock,nyse
MHK,False,"Mohawk Industries, Inc. Common Stock",nyse
MKC,False,"McCormick & Company, Incorporated Common Stock",nyse
MKTX,False,"MarketAxess Holdings, Inc. - Common Stock",nasdaq
MLCO,False,Melco Resorts & Entertainment Limited - American Depositary Shares ,nasdaq
MLM,False,"Martin Marietta Materials, Inc. Common Stock",nyse
MMC,False,"Marsh & McLennan Companies, Inc. Common Stock",nyse
MMM,False,3M Company Common Stock,nyse
MNST,False,Monster Beverage Corporation - Common Stock,nasdaq
MO,False,"Altria Group, Inc.",nyse
MOH,False,Molina Healthcare Inc Common Stock,nyse
MOS,False,Mosaic Company (The) Common Stock,nyse
MPC,False,Marathon Petroleum Corporation Common Stock,nyse
MPW,False,"Medical Properties Trust, Inc. common stock",nyse
MPWR,False,"Monolithic Power Systems, Inc. - Common Stock",nasdaq
MRK,False,"Merck & Company, Inc. Common Stock (new)",nyse
MRNA,False,"Moderna, Inc. - Common Stock",nasdaq
MRO,False,Marathon Oil Corporation Common Stock,nyse
MRVL,False,"Marvell Technology, Inc. - Common Stock",nasdaq
MS,False,Morgan Stanley Common Stock,nyse
MSCI,False,MSCI Inc Common Stock,nyse
MSFT,False,Microsoft Corporation - Common Stock,nasdaq
MSI,False,"Motorola Solutions, Inc. Common Stock",nyse
MTB,False,M&T Bank Corporation Common Stock,nyse
MTCH,False,"Match Group, Inc. - Common Stock",nasdaq
MTD,False,"Mettler-Toledo International, Inc. Common Stock",nyse
MU,False,"Micron Technology, Inc. - Common Stock",nasdaq
